"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"2830","key"," "," ","16.86207058823529","500","250","psychophysics","0","2866","0.0-0.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","","","","","","",""
"3202","key"," "," ","16.659776041666664","500","250","psychophysics","1","6072","0.0-1.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","","","","","","",""
"1986","key"," "," ","16.666000000000004","500","250","psychophysics","2","8063","0.0-2.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","","","","","","",""
"1127","key"," "," ","16.66599999999999","500","250","psychophysics","3","9194","0.0-3.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","","","","","","",""
"10780","key"," "," ","16.666","500","250","psychophysics","4","19979","0.0-4.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","","","","","","",""
"6118","key"," "," ","17.134146067415735","500","250","psychophysics","5","26104","0.0-5.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","","","","","","",""
"2006","key"," "," ","16.803735537190086","500","250","psychophysics","6","28150","0.0-6.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","","","","","","",""
"2733","key"," "," ","16.66600000000001","500","250","psychophysics","7","30890","0.0-7.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","","","","","","",""
"8735","key"," "," ","16.665999999999993","500","250","psychophysics","8","39635","0.0-8.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","0","0","32","29","","",""
"2294","key"," "," ","16.665999999999954","500","250","psychophysics","9","41933","0.0-9.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","","","","","","",""
"1122","key"," "," ","16.666000000000007","500","250","psychophysics","10","43076","0.0-10.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","","","","","","",""
"1884","key"," "," ","16.665999999999972","500","250","psychophysics","11","44966","0.0-11.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","","","","","","",""
"1438","key"," "," ","16.665999999999976","500","250","psychophysics","12","46411","0.0-12.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","","","","","","",""
"1846","key"," "," ","16.666000000000018","500","250","psychophysics","13","48263","0.0-13.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","","","","","","",""
"1734","key"," "," ","16.665999999999958","500","250","psychophysics","14","50011","0.0-14.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","","","","","","",""
"2809","key"," "," ","16.665999999999993","500","250","psychophysics","15","52825","0.0-15.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","","","","","","",""
"1609","key"," "," ","16.666000000000015","500","250","psychophysics","16","54439","0.0-16.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","","","","","","",""
"7096","key"," "," ","16.666000000000007","500","250","psychophysics","17","61540","0.0-17.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","1","0","51","58","","",""
"6285","key"," "," ","16.66600000000001","500","250","psychophysics","18","67831","0.0-18.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","1","5","53","53","","",""
"9890","key"," "," ","16.66599999999999","500","250","psychophysics","19","77730","0.0-19.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","1","0","33","38","","",""
"6835","key"," "," ","16.66600000000003","500","250","psychophysics","20","84570","0.0-20.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","1","5","57","59","","",""
"5788","key"," "," ","16.665999999999997","500","250","psychophysics","21","90364","0.0-21.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","1","0","40","49","","",""
"4739","key"," "," ","16.66600000000001","500","250","psychophysics","22","95113","0.0-22.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","1","5","37","44","","",""
"5732","key"," "," ","16.666000000000018","500","250","psychophysics","23","100860","0.0-23.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","1","0","39","44","","",""
"7356","key"," "," ","16.666000000000007","500","250","psychophysics","24","108229","0.0-24.0","610ca99956e755634569a35a","6213cef3e04f86e6111d0eef","1","5","59","65","","",""
