"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"3019","key"," "," ","16.75104945054945","500","250","psychophysics","0","3064","0.0-0.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"4277","key"," "," ","16.658734375","500","250","psychophysics","1","7346","0.0-1.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"2838","key"," "," ","16.66011764705882","500","250","psychophysics","2","10189","0.0-2.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"1214","key"," "," ","16.66058333333333","500","250","psychophysics","3","11407","0.0-3.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"2755","key"," "," ","16.658800000000006","500","250","psychophysics","4","14168","0.0-4.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"5394","key"," "," ","16.659089783281736","500","250","psychophysics","5","19568","0.0-5.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"3084","key"," "," ","16.66008152173912","500","250","psychophysics","6","22657","0.0-6.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"6294","key"," "," ","16.659682539682542","500","250","psychophysics","7","28963","0.0-7.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"11589","key"," "," ","16.65896978417266","500","250","psychophysics","8","40557","0.0-8.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","0","0","30","30","","",""
"3558","key"," "," ","16.657901408450712","500","250","psychophysics","9","44120","0.0-9.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"4140","key"," "," ","16.72645528455284","500","250","psychophysics","10","48268","0.0-10.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"6759","key"," "," ","16.659660098522167","500","250","psychophysics","11","55037","0.0-11.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"4731","key"," "," ","16.658293286219077","500","250","psychophysics","12","59774","0.0-12.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"1596","key"," "," ","16.6603229166667","500","250","psychophysics","13","61381","0.0-13.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"4802","key"," "," ","16.77525614035089","500","250","psychophysics","14","66189","0.0-14.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"2776","key"," "," ","16.65940119760485","500","250","psychophysics","15","68977","0.0-15.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"3169","key"," "," ","16.657037037037","500","250","psychophysics","16","72153","0.0-16.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"14737","key"," "," ","16.659167231638417","500","250","psychophysics","17","86902","0.0-17.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","0","47","72","","",""
"7625","key"," "," ","16.65910940919038","500","250","psychophysics","18","94533","0.0-18.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","5","58","73","","",""
"8504","key"," "," ","16.659777996070737","500","250","psychophysics","19","103042","0.0-19.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","0","49","70","","",""
"11819","key"," "," ","16.65905915492958","500","250","psychophysics","20","114872","0.0-20.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","5","53","61","","",""
"9362","key"," "," ","16.658684491978605","500","250","psychophysics","21","124240","0.0-21.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","0","39","62","","",""
"9953","key"," "," ","16.715110924369764","500","250","psychophysics","22","134201","0.0-22.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","5","48","53","","",""
"18867","key"," "," ","16.659171378091873","500","250","psychophysics","23","153075","0.0-23.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","0","59","79","","",""
"9168","key"," "," ","16.659054644808737","500","250","psychophysics","24","162248","0.0-24.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","5","28","33","","",""
"6865","key"," "," ","16.659364077669892","500","250","psychophysics","25","169123","0.0-25.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","0","37","52","","",""
"7585","key"," "," ","16.658872527472553","500","250","psychophysics","26","176711","0.0-26.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","5","20","23","","",""
"9033","key"," "," ","16.658874306839188","500","250","psychophysics","27","185749","0.0-27.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","0","47","68","","",""
"7685","key"," "," ","16.65954663774405","500","250","psychophysics","28","193438","0.0-28.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","5","23","29","","",""
"6060","key"," "," ","16.658650137741038","500","250","psychophysics","29","199502","0.0-29.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","0","56","83","","",""
"6210","key"," "," ","16.659685483870945","500","250","psychophysics","30","205715","0.0-30.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","5","36","42","","",""
"10706","key"," "," ","16.658677570093435","500","250","psychophysics","31","216426","0.0-31.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","0","36","56","","",""
"12667","key"," "," ","16.659469038208183","500","250","psychophysics","32","229097","0.0-32.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","5","57","62","","",""
"6077","key"," "," ","16.659128767123352","500","250","psychophysics","33","235183","0.0-33.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","0","52","72","","",""
"12552","key"," "," ","16.658972074468075","500","250","psychophysics","34","247740","0.0-34.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","5","53","57","","",""
"5217","key"," "," ","16.659335463258795","500","250","psychophysics","35","252966","0.0-35.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","0","25","36","","",""
"4903","key"," "," ","16.71521501706481","500","250","psychophysics","36","257874","0.0-36.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","1","5","39","45","","",""
"2689","key"," "," ","16.66082499999993","500","250","psychophysics","37","260565","0.0-37.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"5397","key"," "," ","16.659786377709082","500","250","psychophysics","38","265967","0.0-38.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"2844","key"," "," ","16.659093567251215","500","250","psychophysics","39","268820","0.0-39.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"7907","key"," "," ","16.65922784810124","500","250","psychophysics","40","276733","0.0-40.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","2","0","50","75","","",""
"4999","key"," "," ","16.6585317725751","500","250","psychophysics","41","281738","0.0-41.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"7307","key"," "," ","16.659399543378953","500","250","psychophysics","42","289048","0.0-42.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","2","0","44","60","","",""
"3723","key"," "," ","16.658677130044886","500","250","psychophysics","43","292776","0.0-43.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"5198","key"," "," ","16.712609677419493","500","250","psychophysics","44","297978","0.0-44.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","2","0","37","46","","",""
"2829","key"," "," ","16.659088757396443","500","250","psychophysics","45","300811","0.0-45.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"5607","key"," "," ","16.659279761904706","500","250","psychophysics","46","306423","0.0-46.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","2","0","26","29","","",""
"2391","key"," "," ","16.657951048951045","500","250","psychophysics","47","308818","0.0-47.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"6163","key"," "," ","16.659140921409207","500","250","psychophysics","48","314986","0.0-48.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","2","0","26","32","","",""
"2236","key"," "," ","16.658789473684255","500","250","psychophysics","49","317226","0.0-49.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"5618","key"," "," ","16.658869436201922","500","250","psychophysics","50","322851","0.0-50.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","2","0","20","19","","",""
"2498","key"," "," ","16.658765100671257","500","250","psychophysics","51","325352","0.0-51.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"9291","key"," "," ","16.689462230215852","500","250","psychophysics","52","334647","0.0-52.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","2","0","50","62","","",""
"2437","key"," "," ","16.65952054794506","500","250","psychophysics","53","337089","0.0-53.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"9340","key"," "," ","16.658917857142868","500","250","psychophysics","54","346434","0.0-54.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","2","0","52","56","","",""
"1371","key"," "," ","16.657901234567642","500","250","psychophysics","55","347809","0.0-55.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"3738","key"," "," ","16.65908928571428","500","250","psychophysics","56","351551","0.0-56.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","2","0","28","30","","",""
"1246","key"," "," ","16.658486486486524","500","250","psychophysics","57","352801","0.0-57.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"7443","key"," "," ","16.658524663677237","500","250","psychophysics","58","360249","0.0-58.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","2","0","50","51","","",""
"1924","key"," "," ","16.660252173913076","500","250","psychophysics","59","362178","0.0-59.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"8244","key"," "," ","16.692855983772898","500","250","psychophysics","60","370426","0.0-60.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","2","0","56","62","","",""
"1288","key"," "," ","16.65584210526293","500","250","psychophysics","61","371717","0.0-61.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"3026","key"," "," ","16.659635359116184","500","250","psychophysics","62","374752","0.0-62.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","2","0","22","22","","",""
"1515","key"," "," ","16.660505494505813","500","250","psychophysics","63","376274","0.0-63.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"7307","key"," "," ","16.658764840182624","500","250","psychophysics","64","383584","0.0-64.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","2","0","42","53","","",""
"1167","key"," "," ","16.65943478260854","500","250","psychophysics","65","384756","0.0-65.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"6444","key"," "," ","16.659240932642497","500","250","psychophysics","66","391204","0.0-66.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","2","0","29","27","","",""
"1372","key"," "," ","16.657963414633898","500","250","psychophysics","67","392580","0.0-67.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"8969","key"," "," ","16.689707089552275","500","250","psychophysics","68","401554","0.0-68.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","2","0","46","45","","",""
"1012","key"," "," ","16.659819672131324","500","250","psychophysics","69","402575","0.0-69.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"9616","key"," "," ","16.65865798611109","500","250","psychophysics","70","412197","0.0-70.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"5126","key"," "," ","16.65918566775243","500","250","psychophysics","71","417328","0.0-71.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"985","key"," "," ","16.661491525424566","500","250","psychophysics","72","418321","0.0-72.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","5","35","10","","",""
"7173","key"," "," ","16.65854418604651","500","250","psychophysics","73","425499","0.0-73.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","0","48","51","","",""
"12764","key"," "," ","16.65915816993463","500","250","psychophysics","74","438269","0.0-74.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","5","54","52","","",""
"6335","key"," "," ","16.659499999999962","500","250","psychophysics","75","444613","0.0-75.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","0","33","35","","",""
"9484","key"," "," ","16.68846302816905","500","250","psychophysics","76","454103","0.0-76.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","5","45","49","","",""
"3983","key"," "," ","16.659172268907692","500","250","psychophysics","77","458094","0.0-77.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","0","31","35","","",""
"4960","key"," "," ","16.65959595959584","500","250","psychophysics","78","463064","0.0-78.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","5","20","20","","",""
"4944","key"," "," ","16.65907407407406","500","250","psychophysics","79","468015","0.0-79.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","0","24","28","","",""
"7557","key"," "," ","16.65921192052985","500","250","psychophysics","80","475579","0.0-80.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","5","44","41","","",""
"3118","key"," "," ","16.65874193548394","500","250","psychophysics","81","478703","0.0-81.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","0","20","20","","",""
"5752","key"," "," ","16.659542028985552","500","250","psychophysics","82","484464","0.0-82.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","5","25","28","","",""
"9372","key"," "," ","16.659535587188586","500","250","psychophysics","83","493840","0.0-83.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","0","53","66","","",""
"10221","key"," "," ","16.68667320261439","500","250","psychophysics","84","504067","0.0-84.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","5","57","61","","",""
"13043","key"," "," ","16.65934526854221","500","250","psychophysics","85","517116","0.0-85.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","0","48","59","","",""
"5857","key"," "," ","16.65962962962971","500","250","psychophysics","86","522983","0.0-86.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","5","46","51","","",""
"6393","key"," "," ","16.65970572916679","500","250","psychophysics","87","529385","0.0-87.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","0","44","52","","",""
"4065","key"," "," ","16.6586378600823","500","250","psychophysics","88","533456","0.0-88.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","5","60","58","","",""
"6553","key"," "," ","16.659104325699573","500","250","psychophysics","89","540014","0.0-89.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","0","60","72","","",""
"4724","key"," "," ","16.658190812720576","500","250","psychophysics","90","544743","0.0-90.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","5","54","58","","",""
"3343","key"," "," ","16.658180000000286","500","250","psychophysics","91","548091","0.0-91.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","3","0","31","38","","",""
"1524","key"," "," ","16.65946666666617","500","250","psychophysics","92","549617","0.0-92.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","","",""
"161584","","","v","","","","html-keyboard-response","93","711205","0.0-93.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p> In this part of the experiment, we are going present digits 1, 2, 3, 4, 6, 7, 8, and 9.  Notice that 5 is missing.  Your job is to say whether the presented digit is less than or greater than 5.  For example, 3 is less than 5 and 7 is greater than 5.  If the digit is less than 5, press the v key; if it is greater than 5, press the n key. We are going to do 200 of these in total, but only 50 righ now. They go real fast.</p>  <br><br>  Ready? (press v or n)","",""
"3052","key","v","v","16.650092391304813","500","250","psychophysics","94","714271","0.0-94.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","3"
"null","","","null","","","","html-keyboard-response","95","714781","0.0-95.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2218","key","v","v","16.66156390977453","500","250","psychophysics","96","717006","0.0-96.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","4"
"null","","","null","","","","html-keyboard-response","97","717518","0.0-97.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"3022","key","v","v","16.657850828729263","500","250","psychophysics","98","720545","0.0-98.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","2"
"null","","","null","","","","html-keyboard-response","99","721057","0.0-99.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2945","key","v","v","16.659480225988716","500","250","psychophysics","100","724005","0.0-100.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","4"
"null","","","null","","","","html-keyboard-response","101","724508","0.0-101.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"3415","key","v","v","16.740819512195205","500","250","psychophysics","102","727930","0.0-102.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","3"
"null","","","null","","","","html-keyboard-response","103","728432","0.0-103.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2891","key","n","n","16.658385057471314","500","250","psychophysics","104","731329","0.0-104.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","7"
"null","","","null","","","","html-keyboard-response","105","731831","0.0-105.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2807","key","n","n","16.658218934910906","500","250","psychophysics","106","734646","0.0-106.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","7"
"null","","","null","","","","html-keyboard-response","107","735148","0.0-107.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2505","key","v","v","16.771493333332863","500","250","psychophysics","108","737659","0.0-108.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","4"
"null","","","null","","","","html-keyboard-response","109","738165","0.0-109.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2679","key","v","v","16.658254658385406","500","250","psychophysics","110","740850","0.0-110.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","2"
"null","","","null","","","","html-keyboard-response","111","741357","0.0-111.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2584","key","v","v","16.65900000000012","500","250","psychophysics","112","743948","0.0-112.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","2"
"null","","","null","","","","html-keyboard-response","113","744452","0.0-113.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2603","key","v","v","16.65849358974344","500","250","psychophysics","114","747060","0.0-114.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","1"
"null","","","null","","","","html-keyboard-response","115","747567","0.0-115.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2663","key","n","n","16.65853750000024","500","250","psychophysics","116","750237","0.0-116.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","9"
"null","","","null","","","","html-keyboard-response","117","750748","0.0-117.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2678","key","n","n","16.658198757763802","500","250","psychophysics","118","753432","0.0-118.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","8"
"null","","","null","","","","html-keyboard-response","119","753940","0.0-119.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2669","key","n","n","16.65985714285692","500","250","psychophysics","120","756616","0.0-120.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","9"
"null","","","null","","","","html-keyboard-response","121","757121","0.0-121.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2788","key","v","v","16.659166666667304","500","250","psychophysics","122","759915","0.0-122.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","4"
"null","","","null","","","","html-keyboard-response","123","760425","0.0-123.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2453","key","n","n","16.887280821918242","500","250","psychophysics","124","762884","0.0-124.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","9"
"null","","","null","","","","html-keyboard-response","125","763392","0.0-125.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2681","key","v","v","16.66005590062166","500","250","psychophysics","126","766079","0.0-126.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","2"
"null","","","null","","","","html-keyboard-response","127","766592","0.0-127.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2547","key","n","n","16.65853594771276","500","250","psychophysics","128","769149","0.0-128.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","8"
"null","","","null","","","","html-keyboard-response","129","769658","0.0-129.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2587","key","v","v","16.657948387096514","500","250","psychophysics","130","772250","0.0-130.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","2"
"null","","","null","","","","html-keyboard-response","131","772755","0.0-131.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2641","key","v","v","16.660879746836144","500","250","psychophysics","132","775401","0.0-132.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","4"
"null","","","null","","","","html-keyboard-response","133","775904","0.0-133.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2395","key","v","v","16.660895833333296","500","250","psychophysics","134","778307","0.0-134.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","4"
"null","","","null","","","","html-keyboard-response","135","778819","0.0-135.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2376","key","v","v","16.65783098591557","500","250","psychophysics","136","781198","0.0-136.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","4"
"null","","","null","","","","html-keyboard-response","137","781707","0.0-137.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","","","","","<p style=""color:darkgreen;font-size:24px;"">Correct :)</p>","",""
"2407","key","n","n","16.6584652777779","500","250","psychophysics","138","784119","0.0-138.0","613ab311df99420815403fe9","6213cb9223c054231b776ce7","4","","","","","1","9"
