"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"4306","key"," "," ","32.87022900763359","500","250","psychophysics","0","4322","0.0-0.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"4640","key"," "," ","33.333333333333336","500","250","psychophysics","1","8964","0.0-1.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"5518","key"," "," ","36.666666666666664","500","250","psychophysics","2","14484","0.0-2.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"2070","key"," "," ","33.34426229508197","500","250","psychophysics","3","16556","0.0-3.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"6386","key"," "," ","33.33684210526316","500","250","psychophysics","4","22943","0.0-4.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"6312","key"," "," ","33.333333333333336","500","250","psychophysics","5","29263","0.0-5.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"4196","key"," "," ","33.336","500","250","psychophysics","6","33463","0.0-6.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"1117","key"," "," ","33.303030303030305","500","250","psychophysics","7","34583","0.0-7.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"9855","key"," "," ","33.32993197278912","500","250","psychophysics","8","44440","0.0-8.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","0","0","28","26","","",""
"7581","key"," "," ","33.330396475770925","500","250","psychophysics","9","52023","0.0-9.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"5896","key"," "," ","33.33522727272727","500","250","psychophysics","10","57921","0.0-10.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"8775","key"," "," ","33.33587786259542","500","250","psychophysics","11","66698","0.0-11.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"3117","key"," "," ","33.333333333333336","500","250","psychophysics","12","69817","0.0-12.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"2849","key"," "," ","33.333333333333336","500","250","psychophysics","13","72668","0.0-13.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"2530","key"," "," ","33.333333333333336","500","250","psychophysics","14","75200","0.0-14.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"1956","key"," "," ","33.3448275862069","500","250","psychophysics","15","77158","0.0-15.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"1882","key"," "," ","33.345454545454544","500","250","psychophysics","16","79041","0.0-16.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"14584","key"," "," ","33.33180778032037","500","250","psychophysics","17","93627","0.0-17.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","0","41","57","","",""
"16121","key"," "," ","33.33126293995859","500","250","psychophysics","18","109750","0.0-18.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","5","33","41","","",""
"7536","key"," "," ","33.33777777777778","500","250","psychophysics","19","117288","0.0-19.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","0","35","43","","",""
"6620","key"," "," ","33.34010152284264","500","250","psychophysics","20","123910","0.0-20.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","5","42","48","","",""
"7458","key"," "," ","33.33183856502242","500","250","psychophysics","21","131376","0.0-21.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","0","23","34","","",""
"3182","key"," "," ","33.33684210526316","500","250","psychophysics","22","134560","0.0-22.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","5","43","35","","",""
"5672","key"," "," ","33.32544378698225","500","250","psychophysics","23","140235","0.0-23.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","0","21","28","","",""
"3795","key"," "," ","33.32743362831859","500","250","psychophysics","24","144034","0.0-24.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","5","21","23","","",""
"6100","key"," "," ","33.32967032967033","500","250","psychophysics","25","150139","0.0-25.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","0","32","38","","",""
"7731","key"," "," ","33.34199134199134","500","250","psychophysics","26","157872","0.0-26.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","5","57","66","","",""
"10750","key"," "," ","33.33540372670807","500","250","psychophysics","27","168624","0.0-27.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","0","40","56","","",""
"5719","key"," "," ","33.33529411764706","500","250","psychophysics","28","174345","0.0-28.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","5","40","46","","",""
"5752","key"," "," ","33.325581395348834","500","250","psychophysics","29","180106","0.0-29.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","0","30","36","","",""
"9653","key"," "," ","33.339100346020764","500","250","psychophysics","30","189760","0.0-30.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","5","48","52","","",""
"5059","key"," "," ","33.33774834437086","500","250","psychophysics","31","194821","0.0-31.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","0","25","30","","",""
"7068","key"," "," ","33.33175355450237","500","250","psychophysics","32","201893","0.0-32.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","5","58","66","","",""
"3810","key"," "," ","33.32743362831859","500","250","psychophysics","33","205704","0.0-33.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","0","26","30","","",""
"4447","key"," "," ","33.330827067669176","500","250","psychophysics","34","210154","0.0-34.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","5","34","36","","",""
"6050","key"," "," ","33.327777777777776","500","250","psychophysics","35","216205","0.0-35.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","0","34","36","","",""
"3709","key"," "," ","33.333333333333336","500","250","psychophysics","36","219917","0.0-36.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","1","5","23","28","","",""
"4091","key"," "," ","33.33057851239669","500","250","psychophysics","37","224011","0.0-37.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"6805","key"," "," ","33.32843137254902","500","250","psychophysics","38","230818","0.0-38.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"1880","key"," "," ","33.345454545454544","500","250","psychophysics","39","232699","0.0-39.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"6486","key"," "," ","33.33505154639175","500","250","psychophysics","40","239186","0.0-40.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","2","0","42","52","","",""
"3462","key"," "," ","33.33980582524272","500","250","psychophysics","41","242652","0.0-41.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"4912","key"," "," ","33.342465753424655","500","250","psychophysics","42","247566","0.0-42.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","2","0","37","39","","",""
"1744","key"," "," ","33.35294117647059","500","250","psychophysics","43","249311","0.0-43.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
"5342","key"," "," ","33.3375","500","250","psychophysics","44","254660","0.0-44.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","2","0","44","48","","",""
"1040","key"," "," ","33.3","500","250","psychophysics","45","255704","0.0-45.0","614de6faf1af6a87e98a50bc","6213d1883faf7e0b9e7b663c","","","","","","",""
