"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"2318","key"," "," ","16.66740287769784","500","250","psychophysics","0","2333","0.0-0.0","614e2446523bb49af662fb62","6213e4c001590d283e14a34c","","","","","","",""
"1877","key"," "," ","16.666","500","250","psychophysics","1","4213","0.0-1.0","614e2446523bb49af662fb62","6213e4c001590d283e14a34c","","","","","","",""
"5007","key"," "," ","16.6653745819398","500","250","psychophysics","2","9223","0.0-2.0","614e2446523bb49af662fb62","6213e4c001590d283e14a34c","","","","","","",""
"891","key"," "," ","16.668433962264146","500","250","psychophysics","3","10118","0.0-3.0","614e2446523bb49af662fb62","6213e4c001590d283e14a34c","","","","","","",""
"1112","key"," "," ","16.668560606060606","500","250","psychophysics","4","11232","0.0-4.0","614e2446523bb49af662fb62","6213e4c001590d283e14a34c","","","","","","",""
"2650","key"," "," ","16.666721518987345","500","250","psychophysics","5","13884","0.0-5.0","614e2446523bb49af662fb62","6213e4c001590d283e14a34c","","","","","","",""
"2845","key"," "," ","16.666264705882337","500","250","psychophysics","6","16731","0.0-6.0","614e2446523bb49af662fb62","6213e4c001590d283e14a34c","","","","","","",""
"5248","key"," "," ","16.66655095541401","500","250","psychophysics","7","21981","0.0-7.0","614e2446523bb49af662fb62","6213e4c001590d283e14a34c","","","","","","",""
"6745","key"," "," ","16.66643069306931","500","250","psychophysics","8","28729","0.0-8.0","614e2446523bb49af662fb62","6213e4c001590d283e14a34c","0","0","56","56","","",""
"2122","key"," "," ","16.6671349206349","500","250","psychophysics","9","30853","0.0-9.0","614e2446523bb49af662fb62","6213e4c001590d283e14a34c","","","","","","",""
"1333","key"," "," ","16.66736249999999","500","250","psychophysics","10","32192","0.0-10.0","614e2446523bb49af662fb62","6213e4c001590d283e14a34c","","","","","","",""
"2448","key"," "," ","16.668712328767157","500","250","psychophysics","11","34642","0.0-11.0","614e2446523bb49af662fb62","6213e4c001590d283e14a34c","","","","","","",""
"2464","key"," "," ","16.665217687074808","500","250","psychophysics","12","37108","0.0-12.0","614e2446523bb49af662fb62","6213e4c001590d283e14a34c","","","","","","",""
"1060","key"," "," ","16.666274193548404","500","250","psychophysics","13","38171","0.0-13.0","614e2446523bb49af662fb62","6213e4c001590d283e14a34c","","","","","","",""
"1841","key"," "," ","16.667863636363606","500","250","psychophysics","14","40017","0.0-14.0","614e2446523bb49af662fb62","6213e4c001590d283e14a34c","","","","","","",""
"2400","key"," "," ","16.666804195804165","500","250","psychophysics","15","42420","0.0-15.0","614e2446523bb49af662fb62","6213e4c001590d283e14a34c","","","","","","",""
"2296","key"," "," ","16.666182481751825","500","250","psychophysics","16","44720","0.0-16.0","614e2446523bb49af662fb62","6213e4c001590d283e14a34c","","","","","","",""
