"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp","stimulus","is5","stim"
"3047","key"," "," ","17.12275690607735","500","250","psychophysics","0","3103","0.0-0.0","615e41558dc8efdab16afe00","6213cdc00ae70f1648b40c9d","","","","","","",""
"2386","key"," "," ","16.659591549295776","500","250","psychophysics","1","5495","0.0-1.0","615e41558dc8efdab16afe00","6213cdc00ae70f1648b40c9d","","","","","","",""
"2906","key"," "," ","16.662565714285712","500","250","psychophysics","2","8413","0.0-2.0","615e41558dc8efdab16afe00","6213cdc00ae70f1648b40c9d","","","","","","",""
"1213","key"," "," ","16.65959722222222","500","250","psychophysics","3","9630","0.0-3.0","615e41558dc8efdab16afe00","6213cdc00ae70f1648b40c9d","","","","","","",""
"3285","key"," "," ","16.660948979591836","500","250","psychophysics","4","12921","0.0-4.0","615e41558dc8efdab16afe00","6213cdc00ae70f1648b40c9d","","","","","","",""
"3776","key"," "," ","16.661259911894273","500","250","psychophysics","5","16710","0.0-5.0","615e41558dc8efdab16afe00","6213cdc00ae70f1648b40c9d","","","","","","",""
"5787","key"," "," ","16.65999710982659","500","250","psychophysics","6","22501","0.0-6.0","615e41558dc8efdab16afe00","6213cdc00ae70f1648b40c9d","","","","","","",""
"3107","key"," "," ","16.66063101604278","500","250","psychophysics","7","25624","0.0-7.0","615e41558dc8efdab16afe00","6213cdc00ae70f1648b40c9d","","","","","","",""
"20839","key"," "," ","16.6610456","500","250","psychophysics","8","46468","0.0-8.0","615e41558dc8efdab16afe00","6213cdc00ae70f1648b40c9d","0","0","55","54","","",""
"2410","key"," "," ","16.66118055555555","500","250","psychophysics","9","48883","0.0-9.0","615e41558dc8efdab16afe00","6213cdc00ae70f1648b40c9d","","","","","","",""
"2639","key"," "," ","16.769554140127386","500","250","psychophysics","10","51532","0.0-10.0","615e41558dc8efdab16afe00","6213cdc00ae70f1648b40c9d","","","","","","",""
"2488","key"," "," ","16.658662162162187","500","250","psychophysics","11","54026","0.0-11.0","615e41558dc8efdab16afe00","6213cdc00ae70f1648b40c9d","","","","","","",""
"3229","key"," "," ","16.660608247422697","500","250","psychophysics","12","57265","0.0-12.0","615e41558dc8efdab16afe00","6213cdc00ae70f1648b40c9d","","","","","","",""
"1429","key"," "," ","16.660882352941126","500","250","psychophysics","13","58700","0.0-13.0","615e41558dc8efdab16afe00","6213cdc00ae70f1648b40c9d","","","","","","",""
"3613","key"," "," ","16.662668202764973","500","250","psychophysics","14","62338","0.0-14.0","615e41558dc8efdab16afe00","6213cdc00ae70f1648b40c9d","","","","","","",""
"2917","key"," "," ","16.66099428571424","500","250","psychophysics","15","65267","0.0-15.0","615e41558dc8efdab16afe00","6213cdc00ae70f1648b40c9d","","","","","","",""
"1476","key"," "," ","16.66090909090913","500","250","psychophysics","16","66747","0.0-16.0","615e41558dc8efdab16afe00","6213cdc00ae70f1648b40c9d","","","","","","",""
